EXP,damping,stiffness,ShoulderPan,ShoulderLift,Elbow,Wrist1,Wrist2,Wrist3
367,413.79310344827593,241.37931034482762,0.07349316666666664,0.42116766666666666,1.0658295,0.35818666666666665,0.14031283333333333,0.6924988333333333
368,413.79310344827593,275.86206896551727,0.0742503125,0.4249725,1.0750259375,0.36144796875,0.14160890625,0.6988453124999998
369,413.79310344827593,310.3448275862069,0.07264611111111112,0.41585111111111117,1.051392962962963,0.35352685185185184,0.1385190740740741,0.6832714814814815
370,413.79310344827593,344.82758620689657,0.06922298507462686,0.3963034328358209,1.0014788059701492,0.3367814925373134,0.13195402985074628,0.6511958208955224
371,413.79310344827593,379.3103448275862,0.06617941176470589,0.37917549019607844,0.9577578431372549,0.32200999999999996,0.12617490196078432,0.6226672549019607
372,413.79310344827593,413.79310344827593,0.06189403225806451,0.3550633870967742,0.8964627419354838,0.30138419354838714,0.1180516129032258,0.5827556451612903
373,413.79310344827593,448.2758620689656,0.05838385964912281,0.3353728070175439,0.8466275438596491,0.28453754385964913,0.11144263157894738,0.550101754385965
374,413.79310344827593,482.75862068965523,0.054628490566037746,0.31421830188679245,0.7930350943396228,0.26647679245283024,0.10435433962264154,0.515057358490566
375,413.79310344827593,517.2413793103449,0.050708666666666666,0.2922136666666667,0.7375943333333334,0.24774666666666667,0.096993,0.47898983333333334
376,413.79310344827593,551.7241379310345,0.046640447761194026,0.2690923880597015,0.6795746268656716,0.2281567164179104,0.0893107462686567,0.44113985074626866
377,413.79310344827593,586.2068965517242,0.043359545454545456,0.25033212121212123,0.6327177272727272,0.2123274242424243,0.08310818181818183,0.41042378787878797
378,413.79310344827593,620.6896551724138,0.04137816666666667,0.238904,0.6041428333333334,0.20268766666666665,0.07933433333333334,0.3917818333333333
379,413.79310344827593,655.1724137931035,0.039501176470588234,0.22799117647058825,0.5769905882352941,0.1935094117647059,0.0757464705882353,0.3741398039215686
380,413.79310344827593,689.6551724137931,0.037926226415094334,0.21871886792452833,0.5539245283018867,0.18575509433962267,0.07268056603773584,0.3590692452830189
381,413.79310344827593,724.1379310344828,0.036185636363636364,0.2084741818181818,0.5284698181818182,0.17714618181818184,0.06934854545454547,0.3424556363636364
382,413.79310344827593,758.6206896551724,0.03469240740740741,0.19961055555555557,0.5064727777777778,0.16973277777777776,0.0664425925925926,0.32810425925925935
383,413.79310344827593,793.1034482758621,0.03363727272727273,0.1932909090909091,0.49069045454545457,0.16442469696969697,0.06436848484848484,0.3178359090909091
384,413.79310344827593,827.5862068965519,0.03205426470588235,0.18381985294117648,0.46720176470588237,0.15652205882352943,0.061269117647058814,0.3025525
