EXP, ShoulderPan_PE, ShoulderPan_VE, ShoulderLift_PE, \ShoulderLift_VE, Elbow_PE,             Elbow_VE, Wrist1_PE, Wrist1_VE, Wrist2_PE, Wrist2_VE, Wrist3_PE, Wrist3_VE
745, -0.0076, 0.0303, 0.0093, -0.0326, 0.0404, -0.1627, -0.0143, 0.0575, 0.0062, -0.0250, 0.0276, -0.1110
745, -0.0072, 0.0261, 0.0089, -0.0276, 0.0386, -0.1409, -0.0137, 0.0498, 0.0059, -0.0216, 0.0263, -0.0960
745, -0.0067, 0.0241, 0.0083, -0.0256, 0.0358, -0.1300, -0.0127, 0.0459, 0.0055, -0.0199, 0.0244, -0.0884
745, -0.0060, 0.0221, 0.0074, -0.0234, 0.0322, -0.1195, -0.0114, 0.0423, 0.0049, -0.0183, 0.0219, -0.0812
745, -0.0078, 0.0189, 0.0071, -0.0205, 0.0419, -0.1021, -0.0109, 0.0375, 0.0064, -0.0156, 0.0286, -0.0692
745, -0.0055, 0.0232, 0.0069, -0.0258, 0.0400, -0.1508, -0.0105, 0.0443, 0.0045, -0.0191, 0.0273, -0.1023
745, -0.0071, 0.0236, 0.0090, -0.0267, 0.0378, -0.1273, -0.0134, 0.0452, 0.0058, -0.0194, 0.0258, -0.0862
745, -0.0065, 0.0320, 0.0082, -0.0387, 0.0347, -0.1725, -0.0123, 0.0612, 0.0053, -0.0263, 0.0236, -0.1169
745, -0.0059, 0.0210, 0.0074, -0.0241, 0.0313, -0.1136, -0.0111, 0.0403, 0.0048, -0.0173, 0.0213, -0.0766
745, -0.0052, 0.0270, 0.0066, -0.0324, 0.0280, -0.1457, -0.0099, 0.0517, 0.0043, -0.0222, 0.0190, -0.0984
745, -0.0046, 0.0243, 0.0058, -0.0289, 0.0247, -0.1309, -0.0088, 0.0465, 0.0038, -0.0199, 0.0168, -0.0883
745, -0.0040, 0.0188, 0.0050, -0.0216, 0.0217, -0.1017, -0.0077, 0.0363, 0.0033, -0.0154, 0.0147, -0.0683
745, -0.0046, 0.0136, 0.0058, -0.0144, 0.0246, -0.0737, -0.0088, 0.0264, 0.0037, -0.0110, 0.0167, -0.0492
745, -0.0041, 0.0193, 0.0051, -0.0223, 0.0217, -0.1038, -0.0077, 0.0371, 0.0033, -0.0157, 0.0147, -0.0697
745, -0.0035, 0.0147, 0.0044, -0.0163, 0.0189, -0.0794, -0.0067, 0.0284, 0.0029, -0.0119, 0.0128, -0.0529
745, -0.0029, 0.0152, 0.0035, -0.0171, 0.0154, -0.0819, -0.0055, 0.0293, 0.0023, -0.0123, 0.0104, -0.0546
745, -0.0024, 0.0151, 0.0029, -0.0171, 0.0130, -0.0817, -0.0046, 0.0292, 0.0020, -0.0123, 0.0088, -0.0543
745, -0.0019, 0.0108, 0.0022, -0.0113, 0.0101, -0.0584, -0.0036, 0.0209, 0.0015, -0.0087, 0.0068, -0.0385
745, -0.0015, 0.0100, 0.0017, -0.0103, 0.0081, -0.0541, -0.0029, 0.0195, 0.0012, -0.0080, 0.0054, -0.0355
745, -0.0011, 0.0093, 0.0011, -0.0094, 0.0059, -0.0504, -0.0021, 0.0182, 0.0009, -0.0075, 0.0039, -0.0329
745, -0.0008, 0.0076, 0.0007, -0.0072, 0.0042, -0.0416, -0.0015, 0.0151, 0.0006, -0.0061, 0.0027, -0.0269
745, -0.0004, 0.0054, 0.0002, -0.0041, 0.0022, -0.0294, -0.0008, 0.0108, 0.0003, -0.0042, 0.0014, -0.0186
745, -0.0002, 0.0018, -0.0000, 0.0007, 0.0012, -0.0103, -0.0005, 0.0040, 0.0002, -0.0013, 0.0007, -0.0055
745, -0.0000, 0.0058, -0.0003, -0.0040, 0.0002, -0.0290, -0.0001, 0.0107, 0.0000, -0.0042, -0.0000, -0.0186
745, 0.0005, 0.0067, -0.0009, -0.0050, -0.0021, -0.0329, 0.0007, 0.0121, -0.0004, -0.0048, -0.0017, -0.0214
745, 0.0010, 0.0038, -0.0015, -0.0016, -0.0046, -0.0193, 0.0016, 0.0072, -0.0007, -0.0027, -0.0033, -0.0119
745, 0.0014, 0.0055, -0.0020, -0.0036, -0.0064, -0.0272, 0.0022, 0.0100, -0.0010, -0.0039, -0.0046, -0.0174
745, 0.0019, 0.0025, -0.0026, 0.0002, -0.0062, -0.0053, 0.0031, 0.0048, -0.0014, -0.0017, -0.0062, -0.0073
745, 0.0025, 0.0040, -0.0033, -0.0016, -0.0116, -0.0198, 0.0030, -0.0029, -0.0018, -0.0028, -0.0083, -0.0123
745, 0.0023, -0.0027, -0.0040, -0.0019, -0.0107, 0.0117, 0.0052, 0.0078, -0.0023, -0.0030, -0.0076, 0.0096
745, 0.0035, 0.0073, -0.0045, -0.0055, -0.0165, -0.0354, 0.0059, 0.0129, -0.0026, -0.0052, -0.0117, -0.0232
745, 0.0038, 0.0003, -0.0048, 0.0029, -0.0177, -0.0026, 0.0063, 0.0012, -0.0028, -0.0001, -0.0125, -0.0004
745, 0.0043, 0.0008, -0.0054, 0.0025, -0.0200, -0.0047, 0.0071, 0.0019, -0.0031, -0.0005, -0.0141, -0.0019
745, 0.0043, 0.0010, -0.0055, 0.0023, -0.0201, -0.0058, 0.0072, 0.0022, -0.0031, -0.0007, -0.0142, -0.0027
745, 0.0046, -0.0016, -0.0058, 0.0055, -0.0214, 0.0064, 0.0076, -0.0021, -0.0033, 0.0012, -0.0151, 0.0058
745, 0.0052, -0.0019, -0.0066, 0.0058, -0.0243, 0.0075, 0.0087, -0.0026, -0.0038, 0.0014, -0.0171, 0.0066
745, 0.0055, -0.0017, -0.0070, 0.0061, -0.0259, 0.0070, 0.0092, -0.0024, -0.0040, 0.0013, -0.0182, 0.0061
745, 0.0059, -0.0225, -0.0075, 0.0313, -0.0276, 0.1048, 0.0098, -0.0372, -0.0043, 0.0164, -0.0194, 0.0742
745, 0.0060, -0.0154, -0.0076, 0.0230, -0.0283, 0.0712, 0.0101, -0.0253, -0.0044, 0.0112, -0.0268, 0.0149
745, 0.0061, -0.0115, -0.0077, 0.0187, -0.0285, 0.0530, 0.0102, -0.0187, -0.0044, 0.0084, -0.0200, 0.0379
745, 0.0063, -0.0144, -0.0081, 0.0226, -0.0296, 0.0667, 0.0106, -0.0235, -0.0046, 0.0105, -0.0208, 0.0473
745, 0.0094, -0.0020, -0.0117, 0.0078, -0.0441, 0.0081, 0.0157, -0.0025, -0.0068, 0.0015, -0.0308, 0.0064
745, 0.0099, -0.0120, -0.0124, 0.0202, -0.0466, 0.0551, 0.0166, -0.0194, -0.0072, 0.0087, -0.0326, 0.0391
745, 0.0099, 0.0007, -0.0123, 0.0053, -0.0462, -0.0048, 0.0165, 0.0017, -0.0071, -0.0006, -0.0324, -0.0028
745, 0.0092, -0.0076, -0.0116, 0.0159, -0.0433, 0.0344, 0.0155, -0.0123, -0.0067, 0.0054, -0.0303, 0.0245
745, 0.0092, -0.0305, -0.0117, 0.0442, -0.0431, 0.1424, 0.0154, -0.0507, -0.0067, 0.0221, -0.0301, 0.0998
745, 0.0127, -0.0111, -0.0159, 0.0213, -0.0596, 0.0510, 0.0212, -0.0180, -0.0092, 0.0080, -0.0416, 0.0358
745, 0.0124, -0.0086, -0.0156, 0.0190, -0.0584, 0.0389, 0.0208, -0.0137, -0.0090, 0.0061, -0.0408, 0.0273
745, 0.0121, -0.0242, -0.0154, 0.0388, -0.0569, 0.1122, 0.0203, -0.0400, -0.0088, 0.0173, -0.0397, 0.0783
745, 0.0121, -0.0250, -0.0154, 0.0403, -0.0568, 0.1163, 0.0203, -0.0415, -0.0088, 0.0179, -0.0397, 0.0811
745, 0.0118, -0.0340, -0.0152, 0.0531, -0.0553, 0.1585, 0.0197, -0.0565, -0.0085, 0.0244, -0.0386, 0.1103
745, 0.0104, -0.0268, -0.0136, 0.0460, -0.0486, 0.1241, 0.0174, -0.0442, -0.0075, 0.0191, -0.0339, 0.0862
745, 0.0156, -0.0140, -0.0199, 0.0311, -0.0734, 0.0643, 0.0262, -0.0228, -0.0113, 0.0098, -0.0512, 0.0443
745, 0.0148, -0.0308, -0.0190, 0.0517, -0.0696, 0.1434, 0.0248, -0.0513, -0.0107, 0.0220, -0.0485, 0.0995
745, 0.0135, -0.0101, -0.0176, 0.0283, -0.0635, 0.0454, 0.0227, -0.0165, -0.0098, 0.0068, -0.0443, 0.0311
745, 0.0139, -0.0362, -0.0182, 0.0615, -0.0653, 0.1685, 0.0233, -0.0603, -0.0101, 0.0258, -0.0455, 0.1168
745, 0.0130, -0.0222, -0.0173, 0.0469, -0.0612, 0.1025, 0.0218, -0.0366, -0.0094, 0.0156, -0.0426, 0.0706
745, 0.0134, -0.0194, -0.0180, 0.0444, -0.0632, 0.0895, 0.0226, -0.0320, -0.0097, 0.0136, -0.0440, 0.0615
745, 0.0072, -0.0009, -0.0107, 0.0234, -0.0339, 0.0020, 0.0121, -0.0010, -0.0052, 0.0001, -0.0236, 0.0005
745, -0.0006, 0.1021, -0.0010, -0.1099, 0.0029, -0.4809, -0.0009, 0.1706, 0.0005, -0.0743, 0.0021, -0.3361
745, 0.0096, -0.0223, -0.0138, 0.0437, -0.0447, 0.1034, 0.0161, -0.0381, -0.0069, 0.0159, -0.0312, 0.0719
745, 0.0099, -0.0024, -0.0139, 0.0240, -0.0463, 0.0096, 0.0166, -0.0039, -0.0071, 0.0014, -0.0323, 0.0064
745, 0.0112, 0.0020, -0.0155, 0.0196, -0.0525, -0.0127, 0.0188, 0.0037, -0.0081, -0.0020, -0.0367, -0.0089
745, 0.0127, -0.0254, -0.0174, 0.0541, -0.0593, 0.1155, 0.0213, -0.0421, -0.0092, 0.0179, -0.0414, 0.0807
745, 0.0186, -0.0511, -0.0244, 0.0855, -0.0871, 0.2356, 0.0224, -0.0886, -0.0134, 0.0364, -0.0608, 0.1647
745, 0.0122, -0.0531, -0.0165, 0.0849, -0.0571, 0.2446, 0.0205, -0.0883, -0.0088, 0.0379, -0.0400, 0.1715
745, 0.0166, -0.0279, -0.0215, 0.0535, -0.0774, 0.1251, 0.0278, -0.0457, -0.0120, 0.0195, -0.0542, 0.0883
745, 0.0176, -0.0688, -0.0226, 0.1003, -0.0822, 0.3171, 0.0295, -0.1143, -0.0127, 0.0492, -0.0576, 0.2227
745, 0.0155, -0.0363, -0.0197, 0.0583, -0.0724, 0.1630, 0.0260, -0.0596, -0.0112, 0.0255, -0.0508, 0.1154
745, 0.0147, -0.0528, -0.0184, 0.0746, -0.0683, 0.2402, 0.0246, -0.0873, -0.0106, 0.0375, -0.0479, 0.1697
745, 0.0138, -0.0124, -0.0172, 0.0237, -0.0642, 0.0494, 0.0231, -0.0192, -0.0100, 0.0081, -0.0451, 0.0369
745, 0.0135, -0.0456, -0.0167, 0.0616, -0.0626, 0.2046, 0.0225, -0.0746, -0.0097, 0.0321, -0.0440, 0.1453
745, 0.0136, -0.0386, -0.0166, 0.0514, -0.0631, 0.1710, 0.0227, -0.0626, -0.0098, 0.0270, -0.0444, 0.1220
745, 0.0133, -0.0444, -0.0161, 0.0566, -0.0615, 0.1972, 0.0221, -0.0720, -0.0096, 0.0310, -0.0433, 0.1404
745, 0.0121, -0.0391, -0.0145, 0.0482, -0.0560, 0.1712, 0.0202, -0.0629, -0.0087, 0.0271, -0.0394, 0.1224
745, 0.0109, -0.0679, -0.0129, 0.0816, -0.0500, 0.3049, 0.0181, -0.1105, -0.0078, 0.0476, -0.0353, 0.2156
745, 0.0145, -0.0584, -0.0171, 0.0692, -0.0669, 0.2596, 0.0241, -0.0944, -0.0104, 0.0407, -0.0470, 0.1841
745, 0.0141, -0.0484, -0.0165, 0.0559, -0.0649, 0.2127, 0.0234, -0.0777, -0.0101, 0.0335, -0.0457, 0.1514
745, 0.0138, -0.0500, -0.0160, 0.0566, -0.0477, 0.1861, 0.0228, -0.0802, -0.0099, 0.0345, -0.0446, 0.1563
745, 0.0120, -0.0387, -0.0138, 0.0423, -0.0549, 0.1657, 0.0198, -0.0609, -0.0086, 0.0262, -0.0387, 0.1187
745, 0.0118, -0.0559, -0.0135, 0.0623, -0.0538, 0.2457, 0.0194, -0.0894, -0.0084, 0.0385, -0.0379, 0.1744
745, 0.0105, -0.0375, -0.0119, 0.0397, -0.0478, 0.1595, 0.0172, -0.0586, -0.0074, 0.0253, -0.0337, 0.1144
745, 0.0097, -0.0404, -0.0110, 0.0429, -0.0441, 0.1730, 0.0159, -0.0633, -0.0069, 0.0274, -0.0311, 0.1237
745, 0.0093, -0.0456, -0.0105, 0.0488, -0.0423, 0.1971, 0.0153, -0.0719, -0.0066, 0.0311, -0.0298, 0.1404
745, 0.0087, -0.0286, -0.0097, 0.0282, -0.0392, 0.1168, 0.0142, -0.0432, -0.0061, 0.0187, -0.0277, 0.0843
745, 0.0078, -0.0321, -0.0087, 0.0321, -0.0350, 0.1330, 0.0127, -0.0489, -0.0055, 0.0211, -0.0248, 0.0956
